reflection_id,reflection_text,claude_what,claude_why,claude_how,llama_what,llama_why,llama_how,evidence_what,evidence_why,evidence_how
24b,"Today we discussed how patients on anticoagulants can have errors when they move between care settings, like from the hospital to home. Pharmacists need to reconcile their medications carefully and counsel them at discharge so they know what to take. This is important because anticoagulants are high-alert and errors can lead to bleeding or clots. I will pay attention to anticoagulation reconciliation in my rotations.",2,1,1,2,1,1,"patients on anticoagulants can have errors when they move between care settings, like from the hospital to home. Pharmacists need to reconcile their medications carefully and counsel them at discharge so they know what to take.",This is important because anticoagulants are high-alert and errors can lead to bleeding or clots.,I will pay attention to anticoagulation reconciliation in my rotations.
24c,Anticoagulants are high-alert medications. They can cause harm. Pharmacists have to be careful when patients are switching settings.,1,0,0,1,0,0,Anticoagulants are high-alert medications. They can cause harm. Pharmacists have to be careful when patients are switching settings.,They can cause harm.,Pharmacists have to be careful when patients are switching settings.
25a,"Today's session focused on the opioid Patient-Controlled Analgesia (PCA) pump as one of the highest-risk routine HAM workflows in hospital pharmacy. I learned that PCA-related sentinel events typically cluster around three failure modes: programming errors at pump setup (concentration, bolus, lockout), ""PCA by proxy"" (a family member or even staff member presses the button on a sedated patient's behalf, defeating the safety logic of the patient-controlled design), and inadequate respiratory monitoring during the first 24 hours when opioid-naive patients are at highest risk for respiratory depression. The class reviewed the ISMP guidance: standardized PCA order sets that prevent free-text dosing, mandatory continuous capnography for all opioid-naive PCA patients, and explicit ""no PCA by proxy"" patient and family education.

This was important to me because opioid PCA had felt like a routine inpatient tool I would barely think about. The class made clear that the pump's safety hinges on a chain of small details — pharmacist verification of the concentration, nursing programming, monitoring escalation thresholds — any of which can fail silently. The PCA-by-proxy detail was the most striking; I had not realized that a well-meaning family member is one of the most common contributors to PCA harm events.

I will apply this by (1) reviewing the institution's PCA order set and policy on my first inpatient rotation and identifying any gaps relative to ISMP guidance; (2) sitting in on at least one PCA initiation with the primary nurse to observe the patient and family education in real time; and (3) when I verify a PCA order, deliberately checking opioid-naive status and confirming continuous capnography is ordered before signing off — this becomes a personal habit rather than an institutional rule.",2,2,2,2,2,2,"I learned that PCA-related sentinel events typically cluster around three failure modes: programming errors at pump setup (concentration, bolus, lockout), ""PCA by proxy"" (a family member or even staff member presses the button on a sedated patient's behalf, defeating the safety logic of the patient-controlled design), and inadequate respiratory monitoring during the first 24 hours when opioid-naive patients are at highest risk for respiratory depression.","opioid PCA had felt like a routine inpatient tool I would barely think about. The class made clear that the pump's safety hinges on a chain of small details — pharmacist verification of the concentration, nursing programming, monitoring escalation thresholds — any of which can fail silently. The PCA-by-proxy detail was the most striking; I had not realized that a well-meaning family member is one of the most common contributors to PCA harm events.","(1) reviewing the institution's PCA order set and policy on my first inpatient rotation and identifying any gaps relative to ISMP guidance; (2) sitting in on at least one PCA initiation with the primary nurse to observe the patient and family education in real time; and (3) when I verify a PCA order, deliberately checking opioid-naive status and confirming continuous capnography is ordered before signing off — this becomes a personal habit rather than an institutional rule."
25b,"Today we covered patient-controlled analgesia pumps and the risks of using them. We learned about programming errors, PCA by proxy, and respiratory monitoring. ISMP has guidance on standardized order sets and capnography. This is important because opioid PCA is high-risk. I will be careful when I verify PCA orders.",2,1,1,2,1,1,"We learned about programming errors, PCA by proxy, and respiratory monitoring. ISMP has guidance on standardized order sets and capnography.",This is important because opioid PCA is high-risk.,I will be careful when I verify PCA orders.
26a,"This session covered neuromuscular blocking agents (NMBs) — the paralytic drugs used during intubation and mechanical ventilation — as one of the most lethal medication-error categories because the harm pathway is rapid and the antidote is not always available. I learned that the canonical NMB error is inadvertent administration to a patient who is not mechanically ventilated, which produces respiratory arrest within minutes. ISMP has documented multiple deaths from rocuronium or vecuronium being mistakenly substituted for routine medications (Versed and others) due to look-alike vials, automated dispensing cabinet override use, and confusion in storage location. The recommended safeguards are: store NMBs only in locations where they will be used (OR, ICU, ED), use red-bordered ""WARNING: PARALYZING AGENT"" auxiliary labels, and remove NMBs from automated cabinet override lists.

What this changed for me was a sense of which HAMs sit at the top of the harm severity scale. Insulin and heparin produce more total errors but allow time to intervene; an NMB error in an unventilated patient is functionally irreversible. That severity asymmetry justifies the very specific storage and labeling controls — they are about preventing the small number of events that you cannot recover from.

I will apply this by (1) on my first ICU or ED rotation, asking how NMBs are stored and confirming the auxiliary labels are present; (2) reviewing the automated dispensing cabinet override list at the institution and checking that NMBs are removed; and (3) committing to push back firmly if I am ever asked to dispense an NMB to a unit that does not routinely manage ventilated patients — that is a stop-the-line moment.",2,2,2,2,2,2,"ISMP has documented multiple deaths from rocuronium or vecuronium being mistakenly substituted for routine medications (Versed and others) due to look-alike vials, automated dispensing cabinet override use, and confusion in storage location. The recommended safeguards are: store NMBs only in locations where they will be used (OR, ICU, ED), use red-bordered ""WARNING: PARALYZING AGENT"" auxiliary labels, and remove NMBs from automated cabinet override lists.",Insulin and heparin produce more total errors but allow time to intervene; an NMB error in an unventilated patient is functionally irreversible. That severity asymmetry justifies the very specific storage and labeling controls — they are about preventing the small number of events that you cannot recover from.,"(1) on my first ICU or ED rotation, asking how NMBs are stored and confirming the auxiliary labels are present; (2) reviewing the automated dispensing cabinet override list at the institution and checking that NMBs are removed; and (3) committing to push back firmly if I am ever asked to dispense an NMB to a unit that does not routinely manage ventilated patients — that is a stop-the-line moment."
26b,Today's class covered neuromuscular blockers and the risk of giving them to a patient who is not on a ventilator. ISMP recommends specific storage and labeling for these drugs. This is important because errors with these drugs can cause death. I will pay attention to NMB storage during my rotations.,2,1,1,2,1,1,neuromuscular blockers and the risk of giving them to a patient who is not on a ventilator. ISMP recommends specific storage and labeling for these drugs.,This is important because errors with these drugs can cause death.,I will pay attention to NMB storage during my rotations.
27a,"Today's session focused on concentrated electrolytes — particularly potassium chloride (KCl), hypertonic saline (3%, 23.4%), and concentrated magnesium sulfate — as a HAM category that ISMP has issued specific structural guidance on. I learned that the canonical error is administering concentrated KCl undiluted, which produces fatal cardiac arrhythmia within minutes. The Joint Commission's 1998 Sentinel Event Alert effectively removed concentrated KCl from most floor stock nationwide. We reviewed the current ISMP guidance: store concentrated electrolytes only in the pharmacy or specifically designated areas (ICU, OR), dispense only as patient-specific premixed bags with standardized concentrations, and require prescriber justification for any non-standard concentration.

What this was important for was recognizing that concentrated electrolyte policy is one of the clearest examples of system-level safety design actually working — sentinel events have decreased substantially since the 1998 alert. The personal piece was understanding that the policy depends on no single pharmacist deciding to override it 'just this once,' because the exception cases compound across the system. I had previously thought of floor stock decisions as logistical; the class reframed them as safety engineering.

I will apply this by (1) on my first inpatient rotation, asking where concentrated KCl and hypertonic saline are stored and confirming they are not in general floor stock; (2) reviewing the institution's premix concentration list and noting which non-standard requests triggered exception approvals in the past year; and (3) committing to never approve an undiluted concentrated electrolyte for ward administration without a documented exception process — even if the request comes from a senior physician.",2,2,2,2,2,2,"concentrated electrolytes — particularly potassium chloride (KCl), hypertonic saline (3%, 23.4%), and concentrated magnesium sulfate — as a HAM category that ISMP has issued specific structural guidance on. I learned that the canonical error is administering concentrated KCl undiluted, which produces fatal cardiac arrhythmia within minutes. The Joint Commission's 1998 Sentinel Event Alert effectively removed concentrated KCl from most floor stock nationwide. We reviewed the current ISMP guidance: store concentrated electrolytes only in the pharmacy or specifically designated areas (ICU, OR), dispense only as patient-specific premixed bags with standardized concentrations, and require prescriber justification for any non-standard concentration.","concentrated electrolyte policy is one of the clearest examples of system-level safety design actually working — sentinel events have decreased substantially since the 1998 alert. The personal piece was understanding that the policy depends on no single pharmacist deciding to override it 'just this once,' because the exception cases compound across the system. I had previously thought of floor stock decisions as logistical; the class reframed them as safety engineering.","I will apply this by (1) on my first inpatient rotation, asking where concentrated KCl and hypertonic saline are stored and confirming they are not in general floor stock; (2) reviewing the institution's premix concentration list and noting which non-standard requests triggered exception approvals in the past year; and (3) committing to never approve an undiluted concentrated electrolyte for ward administration without a documented exception process — even if the request comes from a senior physician."
27c,Concentrated potassium can be dangerous. It needs to be stored carefully.,1,0,0,1,0,0,Concentrated potassium can be dangerous. It needs to be stored carefully.,Concentrated potassium can be dangerous.,It needs to be stored carefully.
28a,"This session focused on methotrexate dosing errors, specifically the frequency confusion between weekly low-dose methotrexate (used for rheumatoid arthritis, psoriasis, and ectopic pregnancy management) and the daily dosing common in oncology and trophoblastic disease protocols. I learned that the canonical error is a patient taking a weekly methotrexate dose every day — typically because the prescription was written without an explicit ""weekly"" indication, the pharmacy label said ""take as directed,"" or the patient misunderstood the schedule. The harm pathway is bone marrow suppression, mucositis, and death within days; ISMP has documented dozens of fatalities from this error pattern. Recommended safeguards include: requiring the day of the week and explicit ""weekly"" wording on the label, requiring indication on every methotrexate prescription, and using teach-back at every dispensing encounter.

This was important to me because methotrexate is widely dispensed in community pharmacy and the error is invisible at the dispensing window — the prescription itself often looks correct, and the failure happens days later in the patient's home. I had been thinking of HAM safety as primarily an inpatient concern; this session reframed methotrexate as the most consequential HAM I will encounter in retail practice. The personal piece was a heightened sense of how much patient counseling really matters for this drug — it is the only safety net once the bottle leaves the counter.

I will apply this by (1) committing, at every methotrexate dispensing on my retail rotation, to use teach-back rather than the standard ""any questions?"" close; (2) flagging any methotrexate prescription without an explicit weekly day to my preceptor for prescriber clarification; and (3) reviewing the institutional or chain auxiliary label policy for methotrexate and proposing improvements if the language is not explicit.",2,2,2,2,2,2,"the canonical error is a patient taking a weekly methotrexate dose every day — typically because the prescription was written without an explicit 'weekly' indication, the pharmacy label said 'take as directed,' or the patient misunderstood the schedule. The harm pathway is bone marrow suppression, mucositis, and death within days; ISMP has documented dozens of fatalities from this error pattern. Recommended safeguards include: requiring the day of the week and explicit 'weekly' wording on the label, requiring indication on every methotrexate prescription, and using teach-back at every dispensing encounter.",I had been thinking of HAM safety as primarily an inpatient concern; this session reframed methotrexate as the most consequential HAM I will encounter in retail practice. The personal piece was a heightened sense of how much patient counseling really matters for this drug — it is the only safety net once the bottle leaves the counter.,"(1) committing, at every methotrexate dispensing on my retail rotation, to use teach-back rather than the standard 'any questions?' close; (2) flagging any methotrexate prescription without an explicit weekly day to my preceptor for prescriber clarification; and (3) reviewing the institutional or chain auxiliary label policy for methotrexate and proposing improvements if the language is not explicit."
28c,Methotrexate is a high-alert drug. It can cause harm if taken wrong.,1,0,0,1,0,0,Methotrexate is a high-alert drug. It can cause harm if taken wrong.,It can cause harm if taken wrong.,Methotrexate is a high-alert drug. It can cause harm if taken wrong.
29a,"This session covered vasopressors and emergency medications — norepinephrine, epinephrine, vasopressin, dopamine — as HAMs whose errors typically occur under time pressure during code response or rapid clinical deterioration. I learned that the high-risk error patterns include concentration confusion (epinephrine 1:1,000 IM/SC vs 1:10,000 IV), rapid-bolus administration of drugs intended only for infusion, and dose-doubling when verbal orders are called during a code without standardized closed-loop communication. We reviewed the safeguards: standardized concentrations in the institution's code carts, removing the 1:1000 ratio expression in favor of mg/mL labeling, and TeamSTEPPS-style closed-loop confirmation during verbal orders.

This shifted how I think about emergency medications. I had imagined that code response is mostly muscle memory and protocol-driven — and it is — but that is precisely why subtle concentration or labeling differences cause harm. People follow the rehearsed pattern; if the labeling departs from the pattern, the wrong action gets executed at speed. The personal piece was appreciating how much the pharmacy team's choices about code-cart concentrations and labeling shape what happens in a code six hours later, even though no one in the code remembers it was a pharmacy decision.

I will apply this by (1) on my hospital rotation, requesting to inspect a code cart and confirm the vasopressor labeling matches ISMP's mg/mL guidance; (2) attending one mock code if my preceptor permits, specifically to observe how verbal medication orders are read back; and (3) when I encounter a non-standard concentration request from a code team during my career, escalating it as a system question rather than treating it as a one-off.",2,2,2,2,2,2,"norepinephrine, epinephrine, vasopressin, dopamine — as HAMs whose errors typically occur under time pressure during code response or rapid clinical deterioration. I learned that the high-risk error patterns include concentration confusion (epinephrine 1:1,000 IM/SC vs 1:10,000 IV), rapid-bolus administration of drugs intended only for infusion, and dose-doubling when verbal orders are called during a code without standardized closed-loop communication.","People follow the rehearsed pattern; if the labeling departs from the pattern, the wrong action gets executed at speed. The personal piece was appreciating how much the pharmacy team's choices about code-cart concentrations and labeling shape what happens in a code six hours later, even though no one in the code remembers it was a pharmacy decision.","(1) on my hospital rotation, requesting to inspect a code cart and confirm the vasopressor labeling matches ISMP's mg/mL guidance; (2) attending one mock code if my preceptor permits, specifically to observe how verbal medication orders are read back; and (3) when I encounter a non-standard concentration request from a code team during my career, escalating it as a system question rather than treating it as a one-off."
29c,Vasopressors are emergency drugs. They are high-alert.,1,0,0,1,0,0,Vasopressors are emergency drugs. They are high-alert.,Vasopressors are emergency drugs. They are high-alert.,Vasopressors are emergency drugs. They are high-alert.
30a,"This session focused on oral chemotherapy administered at home — capecitabine, imatinib, lenalidomide, and similar agents — as a category that combines HAM risk with the absence of inpatient safeguards. I learned that oral chemo shifts the safety burden to the patient, the caregiver, and the dispensing pharmacist (often retail) who has neither the training nor the workflow that an inpatient oncology pharmacy provides. Common errors include patients missing doses or doubling up, mishandling of cytotoxic waste at home, dose modifications not communicated by the oncology clinic to the dispensing pharmacy, and drug interactions with patients' other home medications. ASCO and HOPA have published explicit oral chemotherapy safety standards, including pharmacist-led dispensing protocols, structured patient education, and proactive adherence monitoring.

What this was important for was recognizing that oral chemotherapy is an increasingly common dispensing scenario that most pharmacists are not explicitly trained for. The personal piece was realizing that retail pharmacists are now part of the oncology safety chain whether they recognize it or not, and that the right response is to upskill rather than to defer to the prescribing clinic.

I will apply this by (1) on my retail rotation, reviewing the chain or site's oral chemotherapy dispensing protocol if one exists, and asking what training is required; (2) completing the HOPA oral chemotherapy safety modules before I am responsible for these dispenses independently; and (3) for at least one oral chemo dispense, doing structured patient education with handout, teach-back, and a follow-up call within the first week.",2,2,2,2,2,2,"oral chemo shifts the safety burden to the patient, the caregiver, and the dispensing pharmacist (often retail) who has neither the training nor the workflow that an inpatient oncology pharmacy provides. Common errors include patients missing doses or doubling up, mishandling of cytotoxic waste at home, dose modifications not communicated by the oncology clinic to the dispensing pharmacy, and drug interactions with patients' other home medications. ASCO and HOPA have published explicit oral chemotherapy safety standards, including pharmacist-led dispensing protocols, structured patient education, and proactive adherence monitoring.","The personal piece was realizing that retail pharmacists are now part of the oncology safety chain whether they recognize it or not, and that the right response is to upskill rather than to defer to the prescribing clinic.","(1) on my retail rotation, reviewing the chain or site's oral chemotherapy dispensing protocol if one exists, and asking what training is required; (2) completing the HOPA oral chemotherapy safety modules before I am responsible for these dispenses independently; and (3) for at least one oral chemo dispense, doing structured patient education with handout, teach-back, and a follow-up call within the first week."
30c,Oral chemo is for patients to take at home. It can be risky.,1,0,0,1,0,0,Oral chemo is for patients to take at home. It can be risky.,It can be risky.,Oral chemo is for patients to take at home. It can be risky.
31a,"Today's session covered tall-man lettering and the broader naming-standards approach to LASA error reduction. I learned that tall-man lettering — writing parts of confusable drug names in capital letters (e.g., hydrOXYzine vs hydrALAZINE, vinBLAStine vs vinCRIStine) — is recommended by ISMP and FDA as one of the few proven label-level interventions for LASA errors. We reviewed the published lists (ISMP confused-name pairs, FDA's Name Differentiation Project), as well as the limitations: tall-man lettering works only when it appears consistently across the EHR, dispensing label, and stocking shelf, and only when prescribers also use it. We also covered broader naming safeguards including indication-required prescribing, look-alike storage separation, and the use of generic-only or brand-only labels in high-risk categories.

This learning gave me a clearer picture of why some institutions still experience LASA errors despite having tall-man lettering on dispensing labels — the labels alone are not enough if the EHR order screens, the shelf labels, and the prescriber's e-prescribing software don't carry the same convention. That points toward a system-level question rather than a labeling fix. The personal piece for me was appreciating that tall-man lettering is a tool whose effectiveness depends on consistency across an ecosystem that no single pharmacist controls.

I will apply this by (1) reviewing the ISMP and FDA tall-man lettering lists before my retail rotation so I can spot inconsistencies in real workflow; (2) checking, on my first hospital shift, whether tall-man lettering appears consistently in EHR, dispensing label, and shelf label and reporting any inconsistencies to my preceptor; and (3) committing to use tall-man lettering in any clinical note, handoff, or email I write professionally — the convention only works if everyone uses it.",2,2,2,2,2,2,"tall-man lettering — writing parts of confusable drug names in capital letters (e.g., hydrOXYzine vs hydrALAZINE, vinBLAStine vs vinCRIStine) — is recommended by ISMP and FDA as one of the few proven label-level interventions for LASA errors. We reviewed the published lists (ISMP confused-name pairs, FDA's Name Differentiation Project), as well as the limitations: tall-man lettering works only when it appears consistently across the EHR, dispensing label, and stocking shelf, and only when prescribers also use it. We also covered broader naming safeguards including indication-required prescribing, look-alike storage separation, and the use of generic-only or brand-only labels in high-risk categories.","why some institutions still experience LASA errors despite having tall-man lettering on dispensing labels — the labels alone are not enough if the EHR order screens, the shelf labels, and the prescriber's e-prescribing software don't carry the same convention. That points toward a system-level question rather than a labeling fix. The personal piece for me was appreciating that tall-man lettering is a tool whose effectiveness depends on consistency across an ecosystem that no single pharmacist controls.","(1) reviewing the ISMP and FDA tall-man lettering lists before my retail rotation so I can spot inconsistencies in real workflow; (2) checking, on my first hospital shift, whether tall-man lettering appears consistently in EHR, dispensing label, and shelf label and reporting any inconsistencies to my preceptor; and (3) committing to use tall-man lettering in any clinical note, handoff, or email I write professionally — the convention only works if everyone uses it."
31c,Tall-man lettering uses capitals to make drug names different. It helps prevent mix-ups.,1,1,0,1,1,0,Tall-man lettering uses capitals to make drug names different.,It helps prevent mix-ups.,It helps prevent mix-ups.
32a,"This session focused on bedside Bar Code Medication Administration (BCMA) as the technological control most closely associated with reductions in wrong-drug and wrong-patient HAM errors. I learned that BCMA works by scanning the patient's wristband and the medication packaging at the bedside, with the EHR confirming match against the active medication order before administration. We reviewed published data showing 50%+ reductions in wrong-drug errors at hospitals that implement BCMA with high compliance — and equally important, the workarounds that reduce that benefit: scanning a printed copy of the wristband instead of the patient's actual wristband, scanning the medication before drawing it up, and the cultural pattern in which override is treated as routine. ISMP guidance is to make compliance visible, audit overrides, and design the workflow so that scanning is the fastest path rather than the slower one.

What this was important for was understanding the conditional nature of technology safety controls. BCMA works in environments where the workflow and culture support it; in environments where overrides are normalized, the data shows compliance numbers that look healthy but harm rates that don't improve. The personal piece for me was realizing that, when I am eventually involved in implementing or improving BCMA-related processes, the question isn't whether the technology is deployed but whether the workflow makes the right behavior easier than the workaround.

I will apply this by (1) shadowing one nursing shift on my hospital rotation to observe BCMA scanning in practice, with attention to overrides and workarounds; (2) asking the medication safety officer for the institution's most recent BCMA compliance report and override-pattern analysis; and (3) committing, when I see a BCMA workaround in real time, to debrief the moment with the nurse rather than report it from a distance — that is the way frontline behavior actually changes.",2,2,2,2,2,2,"BCMA works by scanning the patient's wristband and the medication packaging at the bedside, with the EHR confirming match against the active medication order before administration. We reviewed published data showing 50%+ reductions in wrong-drug errors at hospitals that implement BCMA with high compliance — and equally important, the workarounds that reduce that benefit: scanning a printed copy of the wristband instead of the patient's actual wristband, scanning the medication before drawing it up, and the cultural pattern in which override is treated as routine.","The personal piece for me was realizing that, when I am eventually involved in implementing or improving BCMA-related processes, the question isn't whether the technology is deployed but whether the workflow makes the right behavior easier than the workaround.","(1) shadowing one nursing shift on my hospital rotation to observe BCMA scanning in practice, with attention to overrides and workarounds; (2) asking the medication safety officer for the institution's most recent BCMA compliance report and override-pattern analysis; and (3) committing, when I see a BCMA workaround in real time, to debrief the moment with the nurse rather than report it from a distance"
32b,"Today we covered Bar Code Medication Administration (BCMA), which scans the patient and the drug at the bedside before giving the medication. BCMA reduces wrong-drug errors but only when used correctly. Workarounds reduce its benefit. I will pay attention to BCMA workflows during my rotations.",2,1,1,2,1,1,"Bar Code Medication Administration (BCMA), which scans the patient and the drug at the bedside before giving the medication. BCMA reduces wrong-drug errors but only when used correctly. Workarounds reduce its benefit.",BCMA reduces wrong-drug errors but only when used correctly. Workarounds reduce its benefit.,I will pay attention to BCMA workflows during my rotations.
33a,"In today's session, we did a deep dive into how the IHI Model for Improvement, and specifically the Plan-Do-Study-Act cycle, can be applied to the problem of medication reconciliation errors at care transitions. We learned that medication reconciliation, the process of comparing a patient's medication orders to all of the medications the patient has been taking, is one of the most error-prone steps in the care continuum, particularly at hospital admission, transfer, and discharge. The IHI framework begins with three foundational questions before any PDSA cycle is run: What are we trying to accomplish? How will we know that a change is an improvement? What changes can we make that will result in improvement? We worked through a case study in which a hospital pharmacy team used PDSA cycles to test a pharmacist-led medication history intake process at admission, measuring discrepancy rates before and after the intervention. The first cycle revealed that the new form was too long for patients with multiple chronic conditions, so the team adapted the form in the second cycle and saw a measurable reduction in undocumented discrepancies. This session was transformative for my professional development because it connected a quality improvement framework I had previously thought of as administrative to a concrete, high-stakes clinical problem I will face as a pharmacist. Medication reconciliation errors cause real patient harm, including duplicate therapies, missed doses of critical medications, and dangerous drug interactions that go undetected because the full medication picture was never assembled correctly. Understanding that I can use PDSA cycles to systematically test and refine my own reconciliation process, rather than hoping I get it right through experience alone, gives me a concrete method for improving over time. I also realized that pharmacists are uniquely positioned to lead reconciliation improvement projects because of our medication expertise and our role across all care settings. I will apply this by designing a small PDSA cycle at my internship site focused on medication reconciliation at patient discharge. Specifically, I will plan a structured reconciliation checklist to use during discharge counseling, do it with a defined set of patients over two weeks, study whether it reduces the number of discrepancies identified at the follow-up call, and act by refining the checklist based on what I learned before expanding use.",2,2,2,2,2,2,"we did a deep dive into how the IHI Model for Improvement, and specifically the Plan-Do-Study-Act cycle, can be applied to the problem of medication reconciliation errors at care transitions... The IHI framework begins with three foundational questions before any PDSA cycle is run: What are we trying to accomplish? How will we know that a change is an improvement? What changes can we make that will result in improvement? We worked through a case study in which a hospital pharmacy team used PDSA cycles to test a pharmacist-led medication history intake process at admission, measuring discrepancy rates before and after the intervention.","This session was transformative for my professional development because it connected a quality improvement framework I had previously thought of as administrative to a concrete, high-stakes clinical problem I will face as a pharmacist. Medication reconciliation errors cause real patient harm, including duplicate therapies, missed doses of critical medications, and dangerous drug interactions that go undetected because the full medication picture was never assembled correctly. Understanding that I can use PDSA cycles to systematically test and refine my own reconciliation process, rather than hoping I get it right through experience alone, gives me a concrete method for improving over time.","I will apply this by designing a small PDSA cycle at my internship site focused on medication reconciliation at patient discharge. Specifically, I will plan a structured reconciliation checklist to use during discharge counseling, do it with a defined set of patients over two weeks, study whether it reduces the number of discrepancies identified at the follow-up call, and act by refining the checklist based on what I learned before expanding use."
33b,"Today we learned how the IHI Model for Improvement and PDSA cycles can be applied to medication reconciliation, which is the process of reviewing and aligning a patient's full medication list at care transitions like admission and discharge. Medication reconciliation errors are a leading cause of patient harm, and PDSA cycles give pharmacy teams a structured way to test improvements, such as a pharmacist-led intake process, before rolling them out broadly. This matters to me because I will be directly involved in medication reconciliation at my internship, and understanding that I can test and iterate rather than implement untested changes all at once makes improvement feel more manageable. I plan to apply a basic PDSA approach to my own discharge reconciliation process at my internship, starting with a simple checklist to document discrepancies, tracking whether it changes what I catch, and adjusting the checklist based on what I learn.",2,2,2,2,2,2,"the IHI Model for Improvement and PDSA cycles can be applied to medication reconciliation, which is the process of reviewing and aligning a patient's full medication list at care transitions like admission and discharge. Medication reconciliation errors are a leading cause of patient harm, and PDSA cycles give pharmacy teams a structured way to test improvements, such as a pharmacist-led intake process, before rolling them out broadly.","This matters to me because I will be directly involved in medication reconciliation at my internship, and understanding that I can test and iterate rather than implement untested changes all at once makes improvement feel more manageable.","I plan to apply a basic PDSA approach to my own discharge reconciliation process at my internship, starting with a simple checklist to document discrepancies, tracking whether it changes what I catch, and adjusting the checklist based on what I learn."
33c,"In class we discussed how PDSA cycles from the IHI Model for Improvement can be used to address medication reconciliation errors. Medication reconciliation involves comparing what a patient is prescribed to what they are actually taking, and errors in this process can harm patients. The PDSA cycle helps teams test changes on a small scale before making them permanent. I know this is an important concept for pharmacy practice, and I will try to be careful about medication reconciliation during my rotations.",2,1,1,2,1,1,"PDSA cycles from the IHI Model for Improvement can be used to address medication reconciliation errors. Medication reconciliation involves comparing what a patient is prescribed to what they are actually taking, and errors in this process can harm patients. The PDSA cycle helps teams test changes on a small scale before making them permanent.","I know this is an important concept for pharmacy practice, and errors in this process can harm patients.",I will try to be careful about medication reconciliation during my rotations.
34a,"This session focused on two foundational components of the IHI Model for Improvement that are often underappreciated: writing effective aim statements and selecting meaningful measures of improvement. We learned that a well-constructed aim statement answers three specific questions: what exactly will be improved, by how much, and by when. Vague aim statements like 'improve patient safety' are not actionable and make it impossible to evaluate whether a change actually worked. We reviewed examples such as 'reduce the rate of dispensing errors caught at the final verification step by 25 percent within 90 days' as a strong aim versus 'reduce errors in the pharmacy' as a weak one. We also learned that the IHI framework distinguishes between three types of measures: outcome measures, which track the result you ultimately care about for patients; process measures, which track whether the intervention is actually being performed as intended; and balancing measures, which track whether fixing one part of the system creates a problem elsewhere. For instance, if a pharmacy implements a new barcode verification step to reduce dispensing errors, the outcome measure might be the dispensing error rate, the process measure might be the percentage of prescriptions scanned with the barcode, and the balancing measure might be the average fill time to ensure the new step does not create unacceptable delays. This session significantly advanced my understanding of quality improvement because I had previously thought of measurement as a bureaucratic requirement, but now I see it as the mechanism through which you know whether your effort actually helped. Without clear measures, a team can implement changes indefinitely and never know if patient outcomes improved. For pharmacists, this is especially important because we are often asked to participate in quality improvement committees and pharmacy and therapeutics reviews, and I will need to be able to evaluate whether proposed changes are backed by well-designed measurement. I will apply this by ensuring that any PDSA project I propose or contribute to during my internship includes all three measure types from the start. I will also practice writing aim statements using the IHI structure and ask my preceptor to critique them before I begin any small-scale test of change.",2,2,2,2,2,2,"a well-constructed aim statement answers three specific questions: what exactly will be improved, by how much, and by when... We also learned that the IHI framework distinguishes between three types of measures: outcome measures, which track the result you ultimately care about for patients; process measures, which track whether the intervention is actually being performed as intended; and balancing measures, which track whether fixing one part of the system creates a problem elsewhere.","I had previously thought of measurement as a bureaucratic requirement, but now I see it as the mechanism through which you know whether your effort actually helped. Without clear measures, a team can implement changes indefinitely and never know if patient outcomes improved. For pharmacists, this is especially important because we are often asked to participate in quality improvement committees and pharmacy and therapeutics reviews",I will apply this by ensuring that any PDSA project I propose or contribute to during my internship includes all three measure types from the start. I will also practice writing aim statements using the IHI structure and ask my preceptor to critique them before I begin any small-scale test of change.
34b,"Today we learned about two key elements of the IHI Model for Improvement: aim statements and measurement. An effective aim statement specifies what will be improved, by how much, and by when, which gives the team a clear target. The IHI framework also categorizes measures into outcome, process, and balancing measures, which together give a fuller picture of whether a change is working and whether it is creating unintended problems. This is important because without specific aims and the right measures, a quality improvement effort may produce changes that seem useful but do not actually improve patient outcomes or may inadvertently create new problems. I want to use this framework during my rotations by writing a clear aim statement before I start any PDSA project and by identifying at least one outcome and one balancing measure so I can evaluate whether my intervention is helping without creating new issues elsewhere in the workflow.",2,2,2,2,2,2,"An effective aim statement specifies what will be improved, by how much, and by when, which gives the team a clear target. The IHI framework also categorizes measures into outcome, process, and balancing measures, which together give a fuller picture of whether a change is working and whether it is creating unintended problems.","without specific aims and the right measures, a quality improvement effort may produce changes that seem useful but do not actually improve patient outcomes or may inadvertently create new problems.",I want to use this framework during my rotations by writing a clear aim statement before I start any PDSA project and by identifying at least one outcome and one balancing measure so I can evaluate whether my intervention is helping without creating new issues elsewhere in the workflow.
